;Sex;Age;WeightClassKg;BodyweightKg;TotalKg;Wilks
1024296;F;20,5;"[63,400001525878906, 73,5999984741211)";70,76;432,5;427,1
1025330;M;22,5;"[73,5999984741211, 83,80000305175781)";73,0;750,0;544,77
1025375;M;21,5;"[114,4000015258789, 124,5999984741211)";112,57;875,0;511,43
1025388;F;16,5;"[43,0, 53,20000076293945)";49,68;440,0;567,99
1025396;F;17,5;"[53,20000076293945, 63,400001525878906)";62,61;475,0;512,54
1025397;F;17,5;"[53,20000076293945, 63,400001525878906)";59,32;450,0;506,16
1025429;F;22,5;"[53,20000076293945, 63,400001525878906)";56,17;282,5;331,6
1025443;F;21,5;"[83,80000305175781, 94,0)";82,85;547,5;491,65
1026358;M;42,5;"[43,0, 53,20000076293945)";51,4;380,0;377,47
1026378;M;41,5;"[63,400001525878906, 73,5999984741211)";67,1;560,0;433,83
1026401;M;45,5;"[73,5999984741211, 83,80000305175781)";81,1;607,5;411,22
1026424;M;48,5;"[94,0, 104,19999694824219)";97,5;677,5;416,65
1026425;M;45,5;"[94,0, 104,19999694824219)";96,4;617,5;381,61
1026459;M;56,5;"[53,20000076293945, 63,400001525878906)";59,3;460,0;396,57
1026508;M;50,5;"[104,19999694824219, 114,4000015258789)";102,0;600,0;362,35
1029533;F;42,5;"[53,20000076293945, 63,400001525878906)";53,5;332,5;405,46
1029553;F;56,5;"[43,0, 53,20000076293945)";51,1;320,0;404,32
1029571;F;60,5;"[83,80000305175781, 94,0)";85,2;480,0;425,07
1029574;M;39,5;"[43,0, 53,20000076293945)";51,8;410,0;403,95
1029635;M;50,5;"[53,20000076293945, 63,400001525878906)";59,8;445,0;380,69
1029655;M;56,5;"[73,5999984741211, 83,80000305175781)";81,5;557,5;376,24
1029669;M;50,5;"[124,5999984741211, 134,8000030517578)";118,0;555,0;320,36
1029694;M;63,5;"[83,80000305175781, 94,0)";89,1;637,5;409,08
1033771;F;16,5;"[43,0, 53,20000076293945)";42,7;282,5;405,65
1033803;F;28,5;"[53,20000076293945, 63,400001525878906)";59,6;402,5;451,08
1033831;F;19,0;"[83,80000305175781, 94,0)";86,9;455,0;399,21
1033835;F;17,5;"[83,80000305175781, 94,0)";88,3;395,0;344,09
1034584;M;49,5;"[94,0, 104,19999694824219)";91,0;720,0;457,1
1034598;M;51,5;"[124,5999984741211, 134,8000030517578)";117,3;780,0;450,91
1034614;M;48,5;"[63,400001525878906, 73,5999984741211)";66,8;517,5;402,36
1034674;M;45,5;"[124,5999984741211, 134,8000030517578)";117,7;822,5;475,07
1034691;F;54,5;"[53,20000076293945, 63,400001525878906)";58,9;307,5;347,79
1034713;M;68,0;"[53,20000076293945, 63,400001525878906)";52,1;335,0;328,07
1039666;M;47,5;"[83,80000305175781, 94,0)";92,41;715,0;450,52
1039684;M;42,5;"[114,4000015258789, 124,5999984741211)";116,56;820,0;474,79
1039700;M;53,5;"[63,400001525878906, 73,5999984741211)";65,81;572,5;450,59
1039704;M;58,5;"[63,400001525878906, 73,5999984741211)";65,93;490,0;385,08
1039736;M;50,5;"[114,4000015258789, 124,5999984741211)";114,31;895,0;520,88
1039757;M;64,5;"[73,5999984741211, 83,80000305175781)";81,76;532,5;358,67
1039758;M;59,5;"[73,5999984741211, 83,80000305175781)";82,42;510,0;341,85
1039780;M;72,5;"[63,400001525878906, 73,5999984741211)";64,07;352,5;283,74
1039787;M;69,5;"[73,5999984741211, 83,80000305175781)";81,0;410,0;277,74
1039789;M;71,5;"[83,80000305175781, 94,0)";90,54;477,5;303,91
1039815;F;48,5;"[83,80000305175781, 94,0)";76,33;350,0;329,13
1039830;F;53,0;"[53,20000076293945, 63,400001525878906)";56,18;315,0;369,7
1040313;M;45,5;"[73,5999984741211, 83,80000305175781)";73,64;760,0;548,58
1040377;M;67,5;"[53,20000076293945, 63,400001525878906)";58,52;305,0;266,2
1040388;M;60,5;"[83,80000305175781, 94,0)";91,36;602,5;381,76
1040402;M;69,5;"[73,5999984741211, 83,80000305175781)";80,9;560,0;379,65
1040420;F;39,5;"[53,20000076293945, 63,400001525878906)";61,18;412,5;453,03
1040800;F;33,5;"[43,0, 53,20000076293945)";49,78;422,5;544,57
1040808;F;27,5;"[53,20000076293945, 63,400001525878906)";56,38;515,0;602,75
1040822;F;33,5;"[53,20000076293945, 63,400001525878906)";62,24;542,5;588,02
1040829;F;41,0;"[63,400001525878906, 73,5999984741211)";71,7;627,5;614,17
1040830;F;28,5;"[63,400001525878906, 73,5999984741211)";69,46;625,0;625,12
1040836;F;21,5;"[63,400001525878906, 73,5999984741211)";63,5;450,0;480,4
1040846;F;43,5;"[83,80000305175781, 94,0)";79,34;522,5;480,32
1040876;M;39,5;"[73,5999984741211, 83,80000305175781)";73,32;882,5;638,99
1040879;M;38,0;"[73,5999984741211, 83,80000305175781)";73,8;785,0;565,75
1040907;M;38,5;"[83,80000305175781, 94,0)";92,42;992,5;625,34
1040911;M;26,5;"[83,80000305175781, 94,0)";92,72;950,0;597,64
1040919;M;32,5;"[83,80000305175781, 94,0)";92,6;790,0;497,29
1040926;M;23,5;"[104,19999694824219, 114,4000015258789)";102,78;1042,5;627,78
1040936;M;34,5;"[104,19999694824219, 114,4000015258789)";103,64;807,5;484,78
1045423;M;57,0;"[83,80000305175781, 94,0)";88,7;620,0;398,79
1048759;F;17,5;"[73,5999984741211, 83,80000305175781)";71,38;392,5;385,32
1048797;F;21,5;"[63,400001525878906, 73,5999984741211)";66,89;490,0;503,38
1048814;M;17,5;"[43,0, 53,20000076293945)";51,99;560,0;549,63
1048857;M;17,5;"[104,19999694824219, 114,4000015258789)";101,7;620,0;374,85
1048879;M;21,5;"[53,20000076293945, 63,400001525878906)";57,05;542,5;485,05
1049781;M;23,5;"[63,400001525878906, 73,5999984741211)";67,1;595,0;460,95
1049800;M;18,5;"[73,5999984741211, 83,80000305175781)";73,9;550,0;396,0
1049806;M;30,0;"[73,5999984741211, 83,80000305175781)";82,1;787,5;529,1
1049820;M;23,5;"[83,80000305175781, 94,0)";89,7;925,0;591,52
1049844;M;32,5;"[94,0, 104,19999694824219)";97,6;942,5;579,36
1049850;M;36,5;"[94,0, 104,19999694824219)";97,2;800,0;492,63
1049874;M;44,5;"[104,19999694824219, 114,4000015258789)";106,8;682,5;405,46
1049889;M;22,5;"[124,5999984741211, 134,8000030517578)";121,2;822,5;471,8
1051024;F;24,5;"[73,5999984741211, 83,80000305175781)";76,85;507,5;475,29
1052860;M;46,5;"[63,400001525878906, 73,5999984741211)";65,56;595,0;469,78
1052937;M;60,5;"[73,5999984741211, 83,80000305175781)";81,82;600,0;403,96
1052951;M;62,5;"[104,19999694824219, 114,4000015258789)";100,98;597,5;362,24
1052986;F;46,5;"[63,400001525878906, 73,5999984741211)";70,34;392,5;389,18
1053513;M;25,5;"[83,80000305175781, 94,0)";92,52;767,5;483,33
1053521;M;25,5;"[83,80000305175781, 94,0)";91,2;682,5;432,82
1053528;M;28,5;"[104,19999694824219, 114,4000015258789)";103,3;840,0;504,89
1053578;M;17,5;"[53,20000076293945, 63,400001525878906)";58,78;445,0;386,79
1053592;M;17,5;"[73,5999984741211, 83,80000305175781)";73,0;618,5;449,25
1053624;M;17,5;"[114,4000015258789, 124,5999984741211)";115,38;660,0;383,16
1053658;M;20,5;"[73,5999984741211, 83,80000305175781)";73,74;577,5;416,44
1053666;M;22,5;"[73,5999984741211, 83,80000305175781)";82,18;700,0;470,03
1053677;M;19,5;"[73,5999984741211, 83,80000305175781)";79,1;547,5;376,48
1053681;M;20,5;"[83,80000305175781, 94,0)";92,7;715,0;449,85
1053688;M;22,5;"[83,80000305175781, 94,0)";85,6;530,0;347,54
1053693;M;20,5;"[104,19999694824219, 114,4000015258789)";102,32;755,0;455,41
1053725;M;45,5;"[63,400001525878906, 73,5999984741211)";65,6;605,0;477,43
1053789;M;55,5;"[73,5999984741211, 83,80000305175781)";72,84;537,5;391,04
1053790;M;53,5;"[73,5999984741211, 83,80000305175781)";73,6;522,5;377,29
1053794;M;54,5;"[73,5999984741211, 83,80000305175781)";81,64;675,0;455,06
1053825;M;59,5;"[63,400001525878906, 73,5999984741211)";64,56;385,0;307,9
1053839;M;64,0;"[114,4000015258789, 124,5999984741211)";110,34;627,5;368,93
1053858;M;70,0;"[114,4000015258789, 124,5999984741211)";110,4;490,0;288,04
1053886;F;24,5;"[53,20000076293945, 63,400001525878906)";56,2;420,0;492,79
1053891;F;24,5;"[53,20000076293945, 63,400001525878906)";55,7;365,0;431,27
1053894;F;42,5;"[53,20000076293945, 63,400001525878906)";60,58;476,5;527,31
1053964;F;17,5;"[53,20000076293945, 63,400001525878906)";54,6;220,0;264,04
1053976;F;18,0;"[63,400001525878906, 73,5999984741211)";70,7;345,0;340,89
1053977;F;17,5;"[63,400001525878906, 73,5999984741211)";68,7;272,5;274,66
1053988;F;22,5;"[43,0, 53,20000076293945)";45,9;257,5;352,21
1054002;F;21,5;"[53,20000076293945, 63,400001525878906)";55,72;337,5;398,67
1054028;F;21,5;"[83,80000305175781, 94,0)";81,7;430,0;388,98
1054049;F;41,5;"[53,20000076293945, 63,400001525878906)";56,56;347,5;405,69
1054060;F;48,5;"[53,20000076293945, 63,400001525878906)";62,36;342,5;370,69
1054093;F;51,5;"[43,0, 53,20000076293945)";46,4;280,0;380,06
1054098;F;49,0;"[43,0, 53,20000076293945)";51,7;225,0;281,75
1054112;F;52,5;"[63,400001525878906, 73,5999984741211)";70,7;290,0;286,54
1054135;F;65,5;"[53,20000076293945, 63,400001525878906)";60,56;235,0;260,12
1054148;F;74,0;"[43,0, 53,20000076293945)";51,24;160,0;201,74
1054508;M;47,5;"[73,5999984741211, 83,80000305175781)";82,84;767,5;512,89
1054553;M;52,5;"[73,5999984741211, 83,80000305175781)";73,18;585,0;424,16
1054633;F;48,5;"[53,20000076293945, 63,400001525878906)";62,2;435,0;471,73
1054676;F;51,5;"[63,400001525878906, 73,5999984741211)";69,68;420,0;419,16
1055180;F;14,5;"[43,0, 53,20000076293945)";48,2;347,5;458,83
1055201;F;20,5;"[53,20000076293945, 63,400001525878906)";59,3;347,5;390,97
1055203;F;22,5;"[53,20000076293945, 63,400001525878906)";58,5;305,0;346,8
1055218;F;18,5;"[73,5999984741211, 83,80000305175781)";77,1;412,5;385,57
1055239;M;21,5;"[53,20000076293945, 63,400001525878906)";59,5;555,0;476,99
1055260;M;20,5;"[73,5999984741211, 83,80000305175781)";73,5;712,5;514,99
1055270;M;22,5;"[73,5999984741211, 83,80000305175781)";73,9;620,0;446,4
1055274;M;22,5;"[73,5999984741211, 83,80000305175781)";74,8;585,0;417,62
1055280;M;22,5;"[73,5999984741211, 83,80000305175781)";82,2;745,0;500,17
1055286;M;23,0;"[73,5999984741211, 83,80000305175781)";81,6;630,0;424,85
1055300;M;22,5;"[83,80000305175781, 94,0)";90,0;637,5;406,98
1055464;F;21,0;"[43,0, 53,20000076293945)";47,8;392,5;521,43
1055485;F;40,5;"[53,20000076293945, 63,400001525878906)";55,24;465,0;553,01
1055490;F;24,5;"[53,20000076293945, 63,400001525878906)";55,82;400,0;471,83
1055491;F;40,5;"[53,20000076293945, 63,400001525878906)";54,98;345,0;411,82
1055505;F;33,5;"[53,20000076293945, 63,400001525878906)";58,68;427,5;484,93
1057678;M;66,5;"[53,20000076293945, 63,400001525878906)";55,7;375,0;343,18
1057710;M;62,5;"[94,0, 104,19999694824219)";98,3;582,5;356,99
1057739;F;40,0;"[63,400001525878906, 73,5999984741211)";66,9;445,0;457,11
1057741;F;47,0;"[63,400001525878906, 73,5999984741211)";66,1;397,5;411,9
1057757;F;54,5;"[43,0, 53,20000076293945)";51,2;342,5;432,1
1057782;F;41,5;"[43,0, 53,20000076293945)";43,8;355,0;501,38
1057791;F;47,5;"[43,0, 53,20000076293945)";51,3;382,5;481,84
1058915;F;32,5;"[73,5999984741211, 83,80000305175781)";81,4;515,0;466,78
1059742;M;28,5;"[73,5999984741211, 83,80000305175781)";75,0;730,0;520,17
1059766;M;38,5;"[94,0, 104,19999694824219)";100,0;875,0;532,52
1059768;M;40,5;"[94,0, 104,19999694824219)";100,0;810,0;492,96
1059782;M;29,5;"[124,5999984741211, 134,8000030517578)";125,0;837,5;477,25
1200205;F;15,5;"[63,400001525878906, 73,5999984741211)";65,5;160,0;166,91
1200211;F;51,0;"[53,20000076293945, 63,400001525878906)";56,3;358,5;420,05
1200216;F;24,5;"[53,20000076293945, 63,400001525878906)";56,0;300,0;352,98
1200257;M;19,5;"[63,400001525878906, 73,5999984741211)";66,5;622,5;485,78
1200452;M;46,5;"[104,19999694824219, 114,4000015258789)";108,9;730,0;430,95
1200456;M;56,5;"[124,5999984741211, 134,8000030517578)";122,7;405,0;231,69
1200457;M;27,5;"[83,80000305175781, 94,0)";89,0;717,5;460,69
1200459;M;53,5;"[83,80000305175781, 94,0)";87,9;552,5;357,08
1200481;F;47,0;"[53,20000076293945, 63,400001525878906)";58,8;330,0;373,74
1200490;M;16,5;"[53,20000076293945, 63,400001525878906)";46,2;195,0;218,02
1255194;M;29,0;"[73,5999984741211, 83,80000305175781)";82,35;642,5;430,89
1255223;F;28,0;"[83,80000305175781, 94,0)";76,6;340,0;319,05
1255251;M;73,5;"[73,5999984741211, 83,80000305175781)";69,65;397,5;299,03
1255287;F;30,0;"[83,80000305175781, 94,0)";78,6;292,5;270,33
1255301;M;25,0;"[73,5999984741211, 83,80000305175781)";82,85;662,5;442,69
1255622;M;27,5;"[73,5999984741211, 83,80000305175781)";80,7;515,0;349,68
1255946;F;33,0;"[83,80000305175781, 94,0)";81,65;367,5;332,55
1274711;M;20,5;"[63,400001525878906, 73,5999984741211)";65,5;535,0;422,73
1274721;M;20,5;"[73,5999984741211, 83,80000305175781)";82,9;585,0;390,77
1274729;M;20,5;"[83,80000305175781, 94,0)";90,15;575,0;366,77
1274751;M;25,5;"[73,5999984741211, 83,80000305175781)";73,65;512,5;369,89
1274764;M;30,0;"[83,80000305175781, 94,0)";91,15;592,5;375,85
1274770;M;26,5;"[104,19999694824219, 114,4000015258789)";103,4;647,5;389,05
1274796;M;44,5;"[104,19999694824219, 114,4000015258789)";102,5;637,5;384,28
1274802;M;39,5;"[114,4000015258789, 124,5999984741211)";106,15;535,0;318,49
1274807;M;54,5;"[73,5999984741211, 83,80000305175781)";81,8;510,0;343,41
1274832;F;21,5;"[53,20000076293945, 63,400001525878906)";61,35;327,5;358,91
1274834;F;19,5;"[63,400001525878906, 73,5999984741211)";68,95;360,0;361,93
1274842;F;32,5;"[43,0, 53,20000076293945)";51,0;312,5;395,44
1274845;F;29,0;"[43,0, 53,20000076293945)";51,85;237,5;296,74
1274856;F;25,5;"[63,400001525878906, 73,5999984741211)";71,95;337,5;329,57
1274872;F;56,5;"[53,20000076293945, 63,400001525878906)";61,6;320,5;350,15
1274943;M;23,5;"[104,19999694824219, 114,4000015258789)";102,7;785,0;472,85
1275726;F;34,5;"[43,0, 53,20000076293945)";46,1;270,0;368,17
1275819;M;32,5;"[53,20000076293945, 63,400001525878906)";58,55;532,5;464,54
1275828;M;21,5;"[63,400001525878906, 73,5999984741211)";65,7;515,0;405,9
1275862;M;45,5;"[73,5999984741211, 83,80000305175781)";71,65;440,0;324,0
1275874;M;28,5;"[73,5999984741211, 83,80000305175781)";73,3;600,0;434,53
1275964;M;43,5;"[104,19999694824219, 114,4000015258789)";104,05;605,0;362,69
1276038;M;24,5;"[73,5999984741211, 83,80000305175781)";82,9;627,5;419,16
1276056;F;43,5;"[53,20000076293945, 63,400001525878906)";54,72;327,5;392,38
1276075;M;20,5;"[43,0, 53,20000076293945)";49,28;315,0;327,44
1276122;M;26,5;"[83,80000305175781, 94,0)";89,2;692,5;444,12
1276332;F;31,5;"[53,20000076293945, 63,400001525878906)";56,1;297,5;349,55
1276369;M;56,0;"[73,5999984741211, 83,80000305175781)";73,6;470,5;339,75
1276377;M;71,0;"[73,5999984741211, 83,80000305175781)";81,4;415,0;280,28
1276478;M;32,5;"[63,400001525878906, 73,5999984741211)";65,3;640,0;506,98
1276497;M;40,5;"[114,4000015258789, 124,5999984741211)";113,2;780,0;455,18
1276503;M;68,5;"[63,400001525878906, 73,5999984741211)";64,75;460,0;366,98
1318697;M;20,0;"[94,0, 104,19999694824219)";93,17;522,5;327,95
1358431;M;33,0;"[73,5999984741211, 83,80000305175781)";74,39;710,0;508,82
1360146;M;28,0;"[124,5999984741211, 134,8000030517578)";119,02;790,0;455,07
1360643;M;22,0;"[104,19999694824219, 114,4000015258789)";104,6;682,5;408,38
1362532;M;26,0;"[134,8000030517578, 145,0]";137,35;807,5;452,55
1362866;M;25,0;"[94,0, 104,19999694824219)";98,6;697,5;426,93
1363226;F;43,0;"[73,5999984741211, 83,80000305175781)";72,48;472,5;459,15
1363246;M;42,0;"[104,19999694824219, 114,4000015258789)";109,86;844,99;497,47
1376508;F;21,5;"[63,400001525878906, 73,5999984741211)";71,1;415,0;408,49
1376529;M;21,5;"[104,19999694824219, 114,4000015258789)";104,4;835,0;499,97
1376539;M;36,5;"[73,5999984741211, 83,80000305175781)";73,6;617,5;445,89
1376560;M;42,5;"[114,4000015258789, 124,5999984741211)";119,5;807,5;464,7
1376716;F;24,5;"[63,400001525878906, 73,5999984741211)";71,71;492,5;482,0
1376732;M;37,0;"[83,80000305175781, 94,0)";92,84;792,5;498,25
1377010;F;21,5;"[53,20000076293945, 63,400001525878906)";55,5;442,5;524,32
1377025;F;33,5;"[43,0, 53,20000076293945)";47,0;392,5;527,87
1377069;M;41,5;"[73,5999984741211, 83,80000305175781)";81,1;495,0;335,07
1377084;M;49,5;"[73,5999984741211, 83,80000305175781)";73,5;708,0;511,74
1377086;M;53,5;"[73,5999984741211, 83,80000305175781)";70,4;447,5;333,9
1377106;M;31,5;"[73,5999984741211, 83,80000305175781)";73,7;657,5;474,32
1377140;M;56,5;"[104,19999694824219, 114,4000015258789)";105,0;617,5;368,99
1377261;F;34,0;"[53,20000076293945, 63,400001525878906)";55,56;450,0;532,76
1377275;M;30,5;"[73,5999984741211, 83,80000305175781)";73,6;772,5;557,82
1377992;F;40,5;"[43,0, 53,20000076293945)";46,3;320,0;435,02
1378033;M;22,0;"[83,80000305175781, 94,0)";91,3;755,0;478,54
1378055;M;25,5;"[83,80000305175781, 94,0)";90,3;793,0;505,39
1378479;M;30,5;"[53,20000076293945, 63,400001525878906)";53,1;390,0;374,48
1378508;M;29,5;"[94,0, 104,19999694824219)";97,1;855,0;526,73
1378568;M;27,5;"[73,5999984741211, 83,80000305175781)";82,9;595,0;397,45
1378677;M;21,5;"[73,5999984741211, 83,80000305175781)";73,9;530,0;381,6
1378689;F;38,5;"[43,0, 53,20000076293945)";47,0;305,0;410,19
1378698;F;23,0;"[63,400001525878906, 73,5999984741211)";69,8;390,0;388,76
1378716;M;23,0;"[73,5999984741211, 83,80000305175781)";82,1;645,0;433,35
1378722;M;27,5;"[83,80000305175781, 94,0)";91,9;672,5;424,88
1378794;F;19,5;"[53,20000076293945, 63,400001525878906)";53,64;237,5;289,02
1378863;M;71,5;"[73,5999984741211, 83,80000305175781)";82,44;382,5;256,35
1378864;M;26,5;"[83,80000305175781, 94,0)";89,37;772,5;494,94
1378893;M;69,5;"[63,400001525878906, 73,5999984741211)";64,94;415,5;330,66
1378896;M;71,5;"[73,5999984741211, 83,80000305175781)";82,44;382,5;256,35
1378928;M;20,5;"[73,5999984741211, 83,80000305175781)";73,82;545,0;392,7
1378991;M;37,5;"[104,19999694824219, 114,4000015258789)";104,02;577,5;346,24
1379010;M;38,5;"[53,20000076293945, 63,400001525878906)";55,17;222,5;205,55
1379022;M;22,0;"[114,4000015258789, 124,5999984741211)";116,45;842,5;487,93
1379037;M;33,0;"[83,80000305175781, 94,0)";91,65;727,5;460,24
1379197;F;20,5;"[53,20000076293945, 63,400001525878906)";62,49;445,0;480,87
1379234;F;67,0;"[43,0, 53,20000076293945)";45,76;237,5;325,55
1379264;M;45,5;"[104,19999694824219, 114,4000015258789)";103,4;812,5;488,19
1379270;M;32,5;"[53,20000076293945, 63,400001525878906)";58,97;602,5;522,12
1379291;M;40,5;"[114,4000015258789, 124,5999984741211)";110,9;702,5;412,4
1379307;M;44,5;"[73,5999984741211, 83,80000305175781)";81,26;569,0;384,7
1379422;M;31,5;"[63,400001525878906, 73,5999984741211)";64,98;642,5;511,05
1379439;M;17,5;"[104,19999694824219, 114,4000015258789)";103,79;775,0;465,02
1379568;M;20,5;"[73,5999984741211, 83,80000305175781)";79,3;627,5;430,79
1379597;F;20,5;"[43,0, 53,20000076293945)";40,8;237,5;350,7
1379789;M;45,0;"[63,400001525878906, 73,5999984741211)";65,0;495,0;393,62
1379797;M;39,5;"[104,19999694824219, 114,4000015258789)";109,3;475,0;280,09
1379951;M;54,0;"[83,80000305175781, 94,0)";89,6;830,0;531,07
1380032;M;21,5;"[73,5999984741211, 83,80000305175781)";80,7;670,0;454,92
1380131;M;35,5;"[83,80000305175781, 94,0)";89,0;875,0;561,81
1380168;M;39,5;"[104,19999694824219, 114,4000015258789)";105,0;755,0;451,15
1380184;M;26,0;"[104,19999694824219, 114,4000015258789)";102,8;737,5;444,08
1380188;M;22,5;"[114,4000015258789, 124,5999984741211)";113,6;882,5;514,49
1380975;F;47,5;"[73,5999984741211, 83,80000305175781)";77,3;397,0;370,51
1422898;M;41,5;"[104,19999694824219, 114,4000015258789)";103,6;812,5;487,85
1422989;F;56,5;"[53,20000076293945, 63,400001525878906)";62,1;300,0;325,73
