;Sex;Age;WeightClassKg;BodyweightKg;TotalKg;Wilks
201462;F;43,5;"[53,20000076293945, 63,400001525878906)";60,8;277,5;306,23
201613;M;16,0;"[104,19999694824219, 114,4000015258789)";105,0;425,0;253,96
201670;F;53,5;"[43,0, 53,20000076293945)";49,65;307,5;397,13
201910;M;18,5;"[73,5999984741211, 83,80000305175781)";72,6;520,0;379,22
201915;M;22,5;"[73,5999984741211, 83,80000305175781)";82,2;587,5;394,43
201957;M;24,5;"[104,19999694824219, 114,4000015258789)";96,5;680,0;420,05
201974;M;24,5;"[63,400001525878906, 73,5999984741211)";65,85;605,0;475,93
201984;M;22,0;"[83,80000305175781, 94,0)";92,45;711,0;447,91
202042;M;37,5;"[83,80000305175781, 94,0)";87,2;640,0;415,41
202152;F;34,0;"[53,20000076293945, 63,400001525878906)";55,95;350,0;412,1
202163;M;23,5;"[73,5999984741211, 83,80000305175781)";82,7;530,0;354,54
202234;M;25,5;"[94,0, 104,19999694824219)";90,4;657,5;418,8
202253;F;41,5;"[53,20000076293945, 63,400001525878906)";61,9;392,5;427,22
202270;M;19,5;"[63,400001525878906, 73,5999984741211)";65,9;597,5;469,74
202373;M;15,5;"[53,20000076293945, 63,400001525878906)";55,95;335,0;305,23
202476;F;55,5;"[43,0, 53,20000076293945)";46,65;245,0;331,28
202488;M;25,5;"[73,5999984741211, 83,80000305175781)";80,05;525,0;358,28
202608;M;21,5;"[73,5999984741211, 83,80000305175781)";71,5;480,0;354,0
202635;M;32,5;"[114,4000015258789, 124,5999984741211)";120,0;710,5;408,48
203150;M;43,5;"[73,5999984741211, 83,80000305175781)";69,48;510,0;384,38
203246;M;22,5;"[73,5999984741211, 83,80000305175781)";82,7;687,5;459,89
203266;F;26,5;"[63,400001525878906, 73,5999984741211)";71,9;402,5;393,22
203968;M;22,5;"[104,19999694824219, 114,4000015258789)";104,3;602,5;360,88
204085;M;18,5;"[73,5999984741211, 83,80000305175781)";72,25;542,5;397,02
204253;M;17,5;"[83,80000305175781, 94,0)";90,55;547,5;348,45
204329;F;33,5;"[43,0, 53,20000076293945)";46,8;255,0;344,0
204429;M;18,5;"[114,4000015258789, 124,5999984741211)";108,0;695,0;411,37
204441;F;32,5;"[53,20000076293945, 63,400001525878906)";60,0;302,5;337,25
204516;M;29,5;"[73,5999984741211, 83,80000305175781)";82,65;497,5;332,92
204523;F;35,5;"[43,0, 53,20000076293945)";51,65;340,0;426,07
204560;M;28,0;"[73,5999984741211, 83,80000305175781)";83,0;625,0;417,19
204809;M;29,5;"[83,80000305175781, 94,0)";89,7;627,5;401,28
204870;M;29,5;"[73,5999984741211, 83,80000305175781)";82,1;665,0;446,79
204900;F;28,5;"[53,20000076293945, 63,400001525878906)";62,84;412,5;443,86
204907;F;38,5;"[83,80000305175781, 94,0)";76,34;397,5;373,77
205205;M;27,5;"[73,5999984741211, 83,80000305175781)";74,0;661,0;475,47
205515;F;32,5;"[83,80000305175781, 94,0)";84,0;317,5;283,13
205519;M;20,5;"[73,5999984741211, 83,80000305175781)";73,85;515,0;370,98
205663;F;38,5;"[53,20000076293945, 63,400001525878906)";55,2;265,0;315,34
205932;M;23,5;"[94,0, 104,19999694824219)";97,8;567,5;348,55
205944;M;31,5;"[114,4000015258789, 124,5999984741211)";108,2;660,0;390,42
206439;M;39,5;"[73,5999984741211, 83,80000305175781)";73,3;625,0;452,63
206440;M;22,5;"[73,5999984741211, 83,80000305175781)";74,2;565,0;405,64
206478;F;39,5;"[43,0, 53,20000076293945)";51,24;370,5;467,15
206484;F;51,5;"[53,20000076293945, 63,400001525878906)";56,68;260,5;303,62
206555;M;32,5;"[63,400001525878906, 73,5999984741211)";66,0;577,5;453,45
206606;M;17,5;"[63,400001525878906, 73,5999984741211)";68,4;442,5;337,61
206744;M;50,0;"[73,5999984741211, 83,80000305175781)";74,1;622,5;447,34
206982;F;28,5;"[83,80000305175781, 94,0)";81,0;400,0;363,51
207083;M;17,5;"[104,19999694824219, 114,4000015258789)";101,8;625,0;377,73
207617;F;23,5;"[53,20000076293945, 63,400001525878906)";62,1;427,5;464,17
207689;M;28,5;"[53,20000076293945, 63,400001525878906)";58,78;435,0;378,1
207851;F;47,5;"[43,0, 53,20000076293945)";50,25;305,0;390,33
207972;F;30,0;"[53,20000076293945, 63,400001525878906)";62,25;362,5;392,87
208033;F;48,5;"[53,20000076293945, 63,400001525878906)";61,96;410,0;445,93
208123;M;22,5;"[104,19999694824219, 114,4000015258789)";101,45;732,5;443,28
208139;M;27,5;"[73,5999984741211, 83,80000305175781)";73,81;612,5;441,39
208208;M;19,5;"[104,19999694824219, 114,4000015258789)";97,75;425,0;261,08
208271;M;18,5;"[104,19999694824219, 114,4000015258789)";104,75;717,5;429,1
208371;M;38,5;"[104,19999694824219, 114,4000015258789)";109,55;807,5;475,81
208424;F;32,5;"[53,20000076293945, 63,400001525878906)";62,96;365,0;392,18
208592;M;46,0;"[73,5999984741211, 83,80000305175781)";73,75;570,0;411,0
208594;M;65,5;"[73,5999984741211, 83,80000305175781)";73,4;465,5;336,79
208700;M;59,5;"[83,80000305175781, 94,0)";88,6;502,5;323,4
208702;M;38,0;"[104,19999694824219, 114,4000015258789)";95,9;465,0;288,03
208740;M;45,5;"[83,80000305175781, 94,0)";89,7;550,0;351,72
209051;F;25,5;"[63,400001525878906, 73,5999984741211)";63,8;302,5;321,8
209266;M;21,5;"[73,5999984741211, 83,80000305175781)";81,0;500,0;338,71
209339;M;58,0;"[73,5999984741211, 83,80000305175781)";81,0;568,0;384,78
209531;F;16,5;"[83,80000305175781, 94,0)";82,85;355,0;318,79
209563;M;18,5;"[73,5999984741211, 83,80000305175781)";82,2;532,5;357,51
209711;F;38,5;"[63,400001525878906, 73,5999984741211)";65,8;305,0;317,1
209784;M;45,5;"[83,80000305175781, 94,0)";89,9;475,0;303,41
209808;F;38,5;"[63,400001525878906, 73,5999984741211)";64,0;339,0;359,78
209863;M;29,5;"[83,80000305175781, 94,0)";92,1;512,5;323,45
209992;M;28,5;"[83,80000305175781, 94,0)";87,8;572,5;370,23
209993;M;29,5;"[83,80000305175781, 94,0)";90,2;617,5;393,76
210479;M;26,5;"[104,19999694824219, 114,4000015258789)";104,8;752,5;449,96
210563;M;30,5;"[73,5999984741211, 83,80000305175781)";81,3;575,0;388,63
210782;F;24,5;"[63,400001525878906, 73,5999984741211)";63,65;407,5;434,26
210790;F;36,5;"[63,400001525878906, 73,5999984741211)";67,25;410,0;419,57
210796;F;24,5;"[83,80000305175781, 94,0)";83,0;417,5;374,57
210817;M;35,0;"[83,80000305175781, 94,0)";83,0;712,5;475,59
210827;M;31,5;"[104,19999694824219, 114,4000015258789)";100,8;782,5;474,72
210907;F;29,5;"[63,400001525878906, 73,5999984741211)";65,95;385,0;399,61
210908;F;47,5;"[63,400001525878906, 73,5999984741211)";67,45;415,0;423,78
210957;F;24,5;"[83,80000305175781, 94,0)";77,85;456,5;424,26
210973;M;25,5;"[73,5999984741211, 83,80000305175781)";73,8;560,0;403,59
211192;F;36,5;"[53,20000076293945, 63,400001525878906)";56,0;280,0;329,45
211609;F;31,5;"[53,20000076293945, 63,400001525878906)";56,6;415,0;484,23
211726;F;53,5;"[53,20000076293945, 63,400001525878906)";56,6;325,0;379,22
211938;M;32,0;"[73,5999984741211, 83,80000305175781)";66,9;530,0;411,58
212289;M;37,5;"[73,5999984741211, 83,80000305175781)";82,6;550,0;368,18
212381;M;28,5;"[83,80000305175781, 94,0)";89,5;510,0;326,51
212390;F;14,5;"[53,20000076293945, 63,400001525878906)";61,1;177,5;195,14
212448;M;34,5;"[83,80000305175781, 94,0)";87,5;682,5;442,17
212463;F;23,5;"[63,400001525878906, 73,5999984741211)";71,35;367,5;360,88
212597;M;24,0;"[83,80000305175781, 94,0)";85,65;670,0;439,2
212881;M;32,0;"[53,20000076293945, 63,400001525878906)";57,85;340,0;299,99
212891;M;21,5;"[104,19999694824219, 114,4000015258789)";101,5;605,0;366,05
212922;M;42,5;"[73,5999984741211, 83,80000305175781)";83,0;560,0;373,8
213060;F;43,5;"[53,20000076293945, 63,400001525878906)";60,85;315,0;347,39
213181;F;23,5;"[53,20000076293945, 63,400001525878906)";53,6;225,0;273,97
213213;F;49,5;"[43,0, 53,20000076293945)";45,95;320,0;437,36
213334;M;51,5;"[63,400001525878906, 73,5999984741211)";64,95;360,0;286,46
213631;F;26,5;"[63,400001525878906, 73,5999984741211)";71,95;367,5;358,86
213873;M;27,5;"[73,5999984741211, 83,80000305175781)";72,5;625,0;456,25
214181;M;22,0;"[83,80000305175781, 94,0)";86,8;580,0;377,41
214344;M;18,5;"[83,80000305175781, 94,0)";88,0;610,0;394,0
214396;F;57,5;"[43,0, 53,20000076293945)";46,8;320,0;431,69
214415;M;29,5;"[114,4000015258789, 124,5999984741211)";118,95;845,5;487,1
214837;M;21,5;"[83,80000305175781, 94,0)";92,8;537,5;338,0
214894;M;29,5;"[83,80000305175781, 94,0)";87,35;607,5;393,95
